FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230207;0100;4;;;
230207;0200;3;;;
230207;0300;6;;;
230207;0400;3;;;
230207;0500;3;;;
230207;0600;2;;;
230207;0700;5;;;
230207;0800;3;;;
230207;0900;2;;;
230207;1000;2;;;
230207;1100;6;;;
230207;1200;4;;;
230207;1300;1;;;
230207;1400;5;;;
230207;1500;4;;;
230207;1600;4;;;
230207;1700;4;;;
230207;1800;5;;;
230207;1900;3;;;
230207;2000;3;;;
230207;2100;4;;;
230207;2200;3;;;
230207;2300;3;;;
230208;0000;1;;;
230208;0100;1;;;
230208;0200;1;;;
230208;0300;1;;;
230208;0400;1;;;
230208;0500;1;;;
230208;0600;1;;;
230208;0700;3;;;
230208;0800;7;;;
230208;0900;7;;;
230208;1000;5;;;
230208;1100;4;;;
230208;1200;7;;;
230208;1300;4;;;
230208;1400;1;;;
230208;1500;4;;;
230208;1600;3;;;
230208;1700;2;;;
230208;1800;2;;;
230208;1900;1;;;
230208;2000;1;;;
230208;2100;3;;;
230208;2200;2;;;
230208;2300;1;;;
230209;0000;1;;;
230209;0100;3;;;
230209;0200;2;;;
230209;0300;1;;;
230209;0400;1;;;
230209;0500;1;;;
230209;0600;5;;;
230209;0700;13;;;
230209;0800;8;;;
230209;0900;6;;;
230209;1000;9;;;
230209;1100;9;;;
230209;1200;7;;;
230209;1300;4;;;
230209;1400;3;;;
230209;1500;6;;;
230209;1600;6;;;
230209;1700;3;;;
230209;1800;4;;;
230209;1900;7;;;
230209;2000;9;;;
230209;2100;13;;;
230209;2200;7;;;
230209;2300;3;;;
230210;0000;5;;;
230210;0100;5;;;
230210;0200;1;;;
230210;0300;3;;;
230210;0400;2;;;
230210;0500;4;;;
230210;0600;5;;;
230210;0700;6;;;
230210;0800;6;;;
230210;0900;8;;;
230210;1000;7;;;
230210;1100;6;;;
230210;1200;5;;;
230210;1300;4;;;
230210;1400;4;;;
230210;1500;9;;;
230210;1600;8;;;
230210;1700;14;;;
230210;1800;8;;;
230210;1900;13;;;
230210;2000;22;;;
230210;2100;12;;;
230210;2200;9;;;
230210;2300;4;;;
230211;0000;1;;;
230211;0100;3;;;
230211;0200;2;;;
230211;0300;1;;;
230211;0400;1;;;
230211;0500;1;;;
230211;0600;1;;;
230211;0700;2;;;
230211;0800;4;;;
230211;0900;5;;;
230211;1000;14;;;
230211;1100;7;;;
230211;1200;9;;;
230211;1300;5;;;
230211;1400;6;;;
230211;1500;21;;;
230211;1600;12;;;
230211;1700;14;;;
230211;1800;13;;;
230211;1900;26;;;
230211;2000;9;;;
230211;2100;13;;;
230211;2200;13;;;
230211;2300;9;;;
230212;0000;3;;;
230212;0100;3;;;
230212;0200;3;;;
230212;0300;3;;;
230212;0400;3;;;
230212;0500;3;;;
230212;0600;8;;;
230212;0700;7;;;
230212;0800;7;;;
230212;0900;6;;;
230212;1000;6;;;
230212;1100;7;;;
230212;1200;5;;;
230212;1300;4;;;
230212;1400;3;;;
230212;1500;4;;;
230212;1600;8;;;
230212;1700;8;;;
230212;1800;7;;;
230212;1900;8;;;
230212;2000;12;;;
230212;2100;11;;;
230212;2200;7;;;
230212;2300;7;;;
230213;0000;5;;;
230213;0100;5;;;
230213;0200;4;;;
230213;0300;3;;;
230213;0400;2;;;
230213;0500;2;;;
230213;0600;7;;;
230213;0700;17;;;
230213;0800;14;;;
230213;0900;15;;;
230213;1000;14;;;
230213;1100;16;;;
230213;1200;11;;;
230213;1300;14;;;
230213;1400;14;;;
230213;1500;17;;;
230213;1600;9;;;
230213;1700;17;;;
230213;1800;13;;;
230213;1900;26;;;
230213;2000;33;;;
230213;2100;41;;;
230213;2200;12;;;
230213;2300;15;;;
230214;0000;12;;;
230214;0100;6;;;
230214;0200;5;;;
230214;0300;5;;;
230214;0400;1;;;
230214;0500;1;;;
230214;0600;8;;;
230214;0700;14;;;
230214;0800;9;;;
230214;0900;8;;;
230214;1000;11;;;
230214;1100;7;;;
230214;1200;5;;;
230214;1300;11;;;
230214;1400;10;;;
230214;1500;9;;;
230214;1600;13;;;
230214;1700;21;;;
230214;1800;15;;;
230214;1900;17;;;
230214;2000;9;;;
230214;2100;;;9;
230214;2200;;;9;
230214;2300;;;9;
230215;0000;;;9;
230215;0100;;;9;
230215;0200;;;9;
230215;0300;;;9;
230215;0400;;;9;
230215;0500;;;9;
230215;0600;;;9;
230215;0700;;;9;
230215;0800;;;9;
230215;0900;;;9;
230215;1000;;;9;
230215;1100;;;9;
230215;1200;;;9;
230215;1300;;;;
230215;1400;;;9;
230215;1500;;;;
230215;1600;6;;;
230215;1700;11;;;
230215;1800;13;;;
230215;1900;15;;;
230215;2000;30;;;
230215;2100;15;;;
230215;2200;16;;;
230215;2300;15;;;
230216;0000;26;;;
230216;0100;21;;;
230216;0200;20;;;
230216;0300;8;;;
230216;0400;8;;;
230216;0500;20;;;
230216;0600;35;;;
230216;0700;13;;;
230216;0800;13;;;
230216;0900;7;;;
230216;1000;6;;;
230216;1100;7;;;
230216;1200;4;;;
230216;1300;6;;;
230216;1400;5;;;
230216;1500;3;;;
230216;1600;3;;;
230216;1700;11;;;
230216;1800;16;;;
230216;1900;18;;;
230216;2000;72;;;
230216;2100;94;;;
230216;2200;45;;;
230216;2300;14;;;
230217;0000;18;;;
230217;0100;5;;;
230217;0200;7;;;
