date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-07-11 00:00:00,-0.6,-1.6,2.6,0,,122,9.1,,1022.3,
2023-07-12 00:00:00,-2.7,-5,0.7,0,,4,6.8,,1023.5,
2023-07-13 00:00:00,1.3,-2,6.2,0.5,,28,9.5,,1019.3,
2023-07-14 00:00:00,0.4,-1,6.5,5.1,,335,5.4,,1012.7,
2023-07-15 00:00:00,2.1,-1.2,6.5,0,,15,8.7,,1019.2,
2023-07-16 00:00:00,-0.3,-4,7.6,0,,263,5.4,,1028.4,
2023-07-17 00:00:00,-6.3,-9.5,-3.7,0,,314,6.3,,1026.7,
2023-07-18 00:00:00,-7.4,-12.5,-0.4,0.3,,305,6.1,,1019.9,
2023-07-19 00:00:00,1,-5.5,7,3.3,,346,10.3,,1006.6,
2023-07-20 00:00:00,3.6,1,6,14.3,,342,9.1,,996.1,
2023-07-21 00:00:00,4.9,1.9,10.7,6.2,,334,12.2,,992.3,
2023-07-22 00:00:00,2.3,-1.7,11.2,0,,305,8.1,,1010.4,
2023-07-23 00:00:00,0.7,-2.6,5.8,0,,310,9.2,,1025.7,
2023-07-24 00:00:00,-1.8,-6.2,0.5,6.1,,281,5.3,,1019,
2023-07-25 00:00:00,0.4,-1.5,3,3.2,,46,6.1,,1012.6,
2023-07-26 00:00:00,1,-3.6,6.5,0,,345,5.7,,1021,
2023-07-27 00:00:00,1.7,-0.5,6.8,0,,237,4.7,,1019.2,
2023-07-28 00:00:00,4.4,1,8.5,46.2,,10,9.5,,1005.2,
2023-07-29 00:00:00,7.8,4.9,11.2,23.7,,328,15.2,,997.6,
2023-07-30 00:00:00,5.1,0.7,8,9,,289,13.8,,1010.2,
2023-07-31 00:00:00,2.3,0,8.2,32.8,,272,11.1,,999.7,
2023-08-01 00:00:00,4.8,1.1,9.3,0.8,,293,17,,1002.1,
2023-08-02 00:00:00,2.3,-1,6,1.7,,317,10.2,,1018.7,
2023-08-03 00:00:00,5.4,3,8.5,3.3,,302,13.4,,1018.2,
2023-08-04 00:00:00,5.9,2.7,9,1.3,,328,10.6,,1018.1,
2023-08-05 00:00:00,5.3,0.7,10.2,0,,307,8.9,,1014,
2023-08-06 00:00:00,5.8,1.9,11.7,0,,297,12,,1020.2,
2023-08-07 00:00:00,1.2,-3.5,7.1,0,,300,8.6,,1020.9,
2023-08-08 00:00:00,5.6,-0.7,11.2,1.5,,299,11.9,,1011.1,
2023-08-09 00:00:00,6.4,4,11.5,1.5,,7,5.1,,1000.2,
2023-08-10 00:00:00,6.2,3.3,10,1.4,,22,12.7,,1000.6,
2023-08-11 00:00:00,2.4,-1.5,6.5,0,,319,10.8,,1021,
2023-08-12 00:00:00,0.5,-0.1,2,15.2,,14,5.6,,1017.8,
2023-08-13 00:00:00,2.3,0,6,27.5,,4,5.3,,1004.5,
2023-08-14 00:00:00,5.4,3.9,7.6,1.8,,305,8.9,,999.3,
2023-08-15 00:00:00,4.9,-1.4,10.1,0,,224,16.7,,1009.5,
2023-08-16 00:00:00,-1.3,-3,0.5,10.2,,238,11,,1021.3,
2023-08-17 00:00:00,1.4,0,4.1,9.1,,284,5.8,,1017,
2023-08-18 00:00:00,1.8,-1.2,6.9,0,,20,11.9,,1016.8,
2023-08-19 00:00:00,0.2,-7.7,5,0,,237,8.2,,1010.6,
2023-08-20 00:00:00,2.2,-1.7,5,5,,240,8.5,,1001.5,
2023-08-21 00:00:00,3.4,1.5,7.3,6.2,,4,9.4,,990.3,
2023-08-22 00:00:00,4.5,1.6,7.8,0,,318,9.8,,994.7,
2023-08-23 00:00:00,2.3,-0.4,6,0,,279,11.3,,1007.1,
2023-08-24 00:00:00,3.9,1.2,8.2,0,,306,11.1,,1013.9,
2023-08-25 00:00:00,3.9,0.6,8.7,0,,317,11.3,,1021,
2023-08-26 00:00:00,5.3,2,9,0.3,,26,13.7,,1018.6,
2023-08-27 00:00:00,8,5,12,2.3,,43,12.4,,1005.2,
2023-08-28 00:00:00,6.2,3.6,12.8,0,,298,12,,1007.2,
2023-08-29 00:00:00,6.3,2.5,14,17.7,,34,16.2,,1005,
