FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230130;0400;0,11;;;
230130;0500;0,1;;;
230130;0600;0,14;;;
230130;0700;0,12;;;
230130;0800;0,15;;;
230130;0900;0,12;;;
230130;1000;0,13;;;
230130;1100;0,12;;;
230130;1200;0,11;;;
230130;1300;0,11;;;
230130;1400;0,11;;;
230130;1500;0,11;;;
230130;1600;0,11;;;
230130;1700;0,11;;;
230130;1800;0,11;;;
230130;1900;0,13;;;
230130;2000;0,22;;;
230130;2100;0,3;;;
230130;2200;0,2;;;
230130;2300;0,64;;;
230131;0000;0,25;;;
230131;0100;0,17;;;
230131;0200;0,14;;;
230131;0300;0,13;;;
230131;0400;0,13;;;
230131;0500;0,15;;;
230131;0600;0,18;;;
230131;0700;0,18;;;
230131;0800;0,18;;;
230131;0900;0,14;;;
230131;1000;0,12;;;
230131;1100;0,12;;;
230131;1200;0,1;;;
230131;1300;0,11;;;
230131;1400;0,12;;;
230131;1500;0,11;;;
230131;1600;0,11;;;
230131;1700;0,11;;;
230131;1800;0,14;;;
230131;1900;0,15;;;
230131;2000;0,2;;;
230131;2100;0,2;;;
230131;2200;0,3;;;
230131;2300;0,16;;;
230201;0000;0,15;;;
230201;0100;0,11;;;
230201;0200;0,12;;;
230201;0300;0,11;;;
230201;0400;0,11;;;
230201;0500;0,14;;;
230201;0600;0,16;;;
230201;0700;0,17;;;
230201;0800;0,19;;;
230201;0900;0,15;;;
230201;1000;0,16;;;
230201;1100;0,15;;;
230201;1200;0,13;;;
230201;1300;0,11;;;
230201;1400;0,12;;;
230201;1500;0,11;;;
230201;1600;0,13;;;
230201;1700;0,1;;;
230201;1800;0,13;;;
230201;1900;0,17;;;
230201;2000;0,19;;;
230201;2100;0,25;;;
230201;2200;0,22;;;
230201;2300;0,17;;;
230202;0000;0,15;;;
230202;0100;0,13;;;
230202;0200;0,13;;;
230202;0300;0,11;;;
230202;0400;0,11;;;
230202;0500;0,13;;;
230202;0600;0,17;;;
230202;0700;0,23;;;
230202;0800;0,21;;;
230202;0900;0,25;;;
230202;1000;0,22;;;
230202;1100;0,2;;;
230202;1200;0,18;;;
230202;1300;0,17;;;
230202;1400;0,16;;;
230202;1500;0,15;;;
230202;1600;0,17;;;
230202;1700;0,15;;;
230202;1800;0,17;;;
230202;1900;0,16;;;
230202;2000;0,2;;;
230202;2100;0,24;;;
230202;2200;0,27;;;
230202;2300;0,16;;;
230203;0000;0,15;;;
230203;0100;0,17;;;
230203;0200;0,15;;;
230203;0300;0,13;;;
230203;0400;0,13;;;
230203;0500;0,16;;;
230203;0600;0,21;;;
230203;0700;0,18;;;
230203;0800;0,19;;;
230203;0900;0,5;;;
230203;1000;0,22;;;
230203;1100;0,2;;;
230203;1200;0,16;;;
230203;1300;0,14;;;
230203;1400;0,15;;;
230203;1500;0,16;;;
230203;1600;0,16;;;
230203;1700;0,14;;;
230203;1800;0,14;;;
230203;1900;0,16;;;
230203;2000;0,2;;;
230203;2100;0,37;;;
230203;2200;0,28;;;
230203;2300;0,18;;;
230204;0000;0,17;;;
230204;0100;0,13;;;
230204;0200;0,13;;;
230204;0300;0,15;;;
230204;0400;0,15;;;
230204;0500;0,16;;;
230204;0600;0,18;;;
230204;0700;0,2;;;
230204;0800;0,18;;;
230204;0900;0,2;;;
230204;1000;0,16;;;
230204;1100;0,13;;;
230204;1200;0,14;;;
230204;1300;0,14;;;
230204;1400;0,15;;;
230204;1500;0,15;;;
230204;1600;0,15;;;
230204;1700;0,12;;;
230204;1800;0,13;;;
230204;1900;0,16;;;
230204;2000;0,16;;;
230204;2100;0,16;;;
230204;2200;0,14;;;
230204;2300;0,14;;;
230205;0000;0,15;;;
230205;0100;0,14;;;
230205;0200;0,14;;;
230205;0300;0,13;;;
230205;0400;0,15;;;
230205;0500;0,16;;;
230205;0600;0,14;;;
230205;0700;0,14;;;
230205;0800;0,16;;;
230205;0900;0,13;;;
230205;1000;0,12;;;
230205;1100;0,12;;;
230205;1200;0,13;;;
230205;1300;0,12;;;
230205;1400;0,11;;;
230205;1500;0,11;;;
230205;1600;0,11;;;
230205;1700;0,12;;;
230205;1800;0,11;;;
230205;1900;0,14;;;
230205;2000;0,21;;;
230205;2100;0,24;;;
230205;2200;0,22;;;
230205;2300;0,15;;;
230206;0000;0,15;;;
230206;0100;0,14;;;
230206;0200;0,12;;;
230206;0300;0,12;;;
230206;0400;0,12;;;
230206;0500;0,12;;;
230206;0600;0,17;;;
230206;0700;0,22;;;
230206;0800;0,18;;;
230206;0900;0,2;;;
230206;1000;0,15;;;
230206;1100;0,19;;;
230206;1200;0,15;;;
230206;1300;0,14;;;
230206;1400;0,15;;;
230206;1500;0,17;;;
230206;1600;0,15;;;
230206;1700;0,17;;;
230206;1800;0,18;;;
230206;1900;0,18;;;
230206;2000;0,16;;;
230206;2100;0,24;;;
230206;2200;0,25;;;
230206;2300;0,4;;;
230207;0000;0,25;;;
230207;0100;0,15;;;
230207;0200;0,14;;;
230207;0300;0,13;;;
230207;0400;0,13;;;
230207;0500;0,15;;;
230207;0600;0,18;;;
230207;0700;0,26;;;
230207;0800;0,21;;;
230207;0900;0,21;;;
230207;1000;0,17;;;
230207;1100;0,2;;;
230207;1200;0,15;;;
230207;1300;0,16;;;
230207;1400;0,16;;;
230207;1500;0,14;;;
230207;1600;0,17;;;
230207;1700;0,15;;;
230207;1800;0,15;;;
230207;1900;0,2;;;
230207;2000;0,22;;;
230207;2100;0,21;;;
230207;2200;0,18;;;
230207;2300;0,18;;;
230208;0000;0,16;;;
230208;0100;0,15;;;
230208;0200;0,12;;;
230208;0300;0,16;;;
230208;0400;0,15;;;
230208;0500;0,12;;;
230208;0600;0,19;;;
230208;0700;0,21;;;
230208;0800;0,22;;;
230208;0900;0,21;;;
230208;1000;0,19;;;
230208;1100;0,19;;;
230208;1200;0,22;;;
230208;1300;0,16;;;
230208;1400;0,15;;;
230208;1500;0,16;;;
230208;1600;0,16;;;
230208;1700;0,17;;;
230208;1800;0,18;;;
230208;1900;0,16;;;
230208;2000;0,15;;;
230208;2100;0,14;;;
230208;2200;0,16;;;
230208;2300;0,15;;;
230209;0000;0,15;;;
230209;0100;0,14;;;
230209;0200;0,15;;;
230209;0300;0,15;;;
230209;0400;0,17;;;
230209;0500;0,16;;;
230209;0600;0,22;;;
230209;0700;0,31;;;
230209;0800;0,26;;;
230209;0900;0,2;;;
230209;1000;0,2;;;
230209;1100;0,19;;;
230209;1200;0,17;;;
230209;1300;0,14;;;
230209;1400;0,15;;;
230209;1500;0,14;;;
230209;1600;0,15;;;
230209;1700;0,14;;;
230209;1800;0,13;;;
230209;1900;0,18;;;
230209;2000;0,31;;;
230209;2100;0,36;;;
230209;2200;0,24;;;
230209;2300;0,23;;;
230210;0000;0,2;;;
230210;0100;0,17;;;
230210;0200;0,16;;;
230210;0300;0,15;;;
230210;0400;0,16;;;
230210;0500;0,14;;;
230210;0600;0,17;;;
230210;0700;0,23;;;
230210;0800;0,22;;;
230210;0900;0,22;;;
230210;1000;0,22;;;
230210;1100;0,22;;;
230210;1200;0,19;;;
230210;1300;0,18;;;
230210;1400;0,16;;;
230210;1500;0,18;;;
230210;1600;0,17;;;
230210;1700;0,23;;;
230210;1800;0,25;;;
230210;1900;0,37;;;
230210;2000;0,53;;;
230210;2100;0,44;;;
230210;2200;0,35;;;
230210;2300;0,23;;;
230211;0000;0,23;;;
230211;0100;0,21;;;
230211;0200;0,19;;;
230211;0300;0,17;;;
230211;0400;0,18;;;
230211;0500;0,15;;;
230211;0600;0,14;;;
230211;0700;0,19;;;
230211;0800;0,19;;;
230211;0900;0,21;;;
230211;1000;0,22;;;
230211;1100;0,25;;;
230211;1200;0,32;;;
230211;1300;0,27;;;
230211;1400;0,24;;;
230211;1500;0,25;;;
230211;1600;0,2;;;
230211;1700;0,32;;;
230211;1800;0,31;;;
230211;1900;0,56;;;
230211;2000;0,42;;;
230211;2100;0,51;;;
230211;2200;0,43;;;
230211;2300;0,37;;;
230212;0000;0,33;;;
230212;0100;0,25;;;
230212;0200;0,27;;;
230212;0300;0,19;;;
230212;0400;0,19;;;
230212;0500;0,18;;;
230212;0600;0,14;;;
230212;0700;0,18;;;
230212;0800;0,18;;;
230212;0900;0,18;;;
230212;1000;0,21;;;
230212;1100;0,25;;;
230212;1200;0,23;;;
230212;1300;0,2;;;
230212;1400;0,18;;;
230212;1500;0,18;;;
230212;1600;0,19;;;
230212;1700;0,23;;;
230212;1800;0,25;;;
230212;1900;0,29;;;
230212;2000;0,33;;;
230212;2100;0,28;;;
230212;2200;0,23;;;
230212;2300;0,23;;;
230213;0000;0,25;;;
230213;0100;0,24;;;
230213;0200;0,19;;;
230213;0300;0,19;;;
230213;0400;0,21;;;
230213;0500;0,22;;;
230213;0600;0,3;;;
230213;0700;0,38;;;
230213;0800;0,37;;;
230213;0900;0,42;;;
230213;1000;0,36;;;
230213;1100;0,42;;;
230213;1200;0,34;;;
