FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230202;1300;5;;;
230202;1400;6;;;
230202;1500;7;;;
230202;1600;8;;;
230202;1700;6;;;
230202;1800;5;;;
230202;1900;7;;;
230202;2000;8;;;
230202;2100;11;;;
230202;2200;8;;;
230202;2300;6;;;
230203;0000;4;;;
230203;0100;6;;;
230203;0200;4;;;
230203;0300;3;;;
230203;0400;2;;;
230203;0500;5;;;
230203;0600;7;;;
230203;0700;5;;;
230203;0800;5;;;
230203;0900;16;;;
230203;1000;10;;;
230203;1100;13;;;
230203;1200;8;;;
230203;1300;10;;;
230203;1400;12;;;
230203;1500;8;;;
230203;1600;4;;;
230203;1700;3;;;
230203;1800;6;;;
230203;1900;4;;;
230203;2000;12;;;
230203;2100;21;;;
230203;2200;13;;;
230203;2300;7;;;
230204;0000;3;;;
230204;0100;3;;;
230204;0200;4;;;
230204;0300;3;;;
230204;0400;5;;;
230204;0500;5;;;
230204;0600;7;;;
230204;0700;8;;;
230204;0800;5;;;
230204;0900;8;;;
230204;1000;6;;;
230204;1100;3;;;
230204;1200;19;;;
230204;1300;7;;;
230204;1400;9;;;
230204;1500;8;;;
230204;1600;13;;;
230204;1700;12;;;
230204;1800;8;;;
230204;1900;4;;;
230204;2000;5;;;
230204;2100;5;;;
230204;2200;3;;;
230204;2300;2;;;
230205;0000;2;;;
230205;0100;4;;;
230205;0200;6;;;
230205;0300;3;;;
230205;0400;4;;;
230205;0500;2;;;
230205;0600;3;;;
230205;0700;4;;;
230205;0800;4;;;
230205;0900;19;;;
230205;1000;15;;;
230205;1100;21;;;
230205;1200;14;;;
230205;1300;9;;;
230205;1400;8;;;
230205;1500;7;;;
230205;1600;7;;;
230205;1700;6;;;
230205;1800;7;;;
230205;1900;9;;;
230205;2000;14;;;
230205;2100;14;;;
230205;2200;10;;;
230205;2300;8;;;
230206;0000;8;;;
230206;0100;8;;;
230206;0200;7;;;
230206;0300;6;;;
230206;0400;7;;;
230206;0500;5;;;
230206;0600;6;;;
230206;0700;10;;;
230206;0800;10;;;
230206;0900;10;;;
230206;1000;8;;;
230206;1100;16;;;
230206;1200;15;;;
230206;1300;7;;;
230206;1400;12;;;
230206;1500;8;;;
230206;1600;13;;;
230206;1700;9;;;
230206;1800;7;;;
230206;1900;9;;;
230206;2000;5;;;
230206;2100;8;;;
230206;2200;7;;;
230206;2300;15;;;
230207;0000;13;;;
230207;0100;8;;;
230207;0200;4;;;
230207;0300;7;;;
230207;0400;4;;;
230207;0500;4;;;
230207;0600;4;;;
230207;0700;8;;;
230207;0800;6;;;
230207;0900;4;;;
230207;1000;5;;;
230207;1100;7;;;
230207;1200;5;;;
230207;1300;2;;;
230207;1400;6;;;
230207;1500;5;;;
230207;1600;5;;;
230207;1700;6;;;
230207;1800;11;;;
230207;1900;8;;;
230207;2000;7;;;
230207;2100;5;;;
230207;2200;4;;;
230207;2300;4;;;
230208;0000;2;;;
230208;0100;2;;;
230208;0200;2;;;
230208;0300;2;;;
230208;0400;2;;;
230208;0500;2;;;
230208;0600;2;;;
230208;0700;5;;;
230208;0800;8;;;
230208;0900;8;;;
230208;1000;6;;;
230208;1100;6;;;
230208;1200;8;;;
230208;1300;16;;;
230208;1400;7;;;
230208;1500;15;;;
230208;1600;9;;;
230208;1700;12;;;
230208;1800;7;;;
230208;1900;10;;;
230208;2000;7;;;
230208;2100;5;;;
230208;2200;5;;;
230208;2300;5;;;
230209;0000;3;;;
230209;0100;4;;;
230209;0200;3;;;
230209;0300;4;;;
230209;0400;2;;;
230209;0500;2;;;
230209;0600;6;;;
230209;0700;14;;;
230209;0800;10;;;
230209;0900;12;;;
230209;1000;10;;;
230209;1100;10;;;
230209;1200;8;;;
230209;1300;7;;;
230209;1400;6;;;
230209;1500;7;;;
230209;1600;7;;;
230209;1700;7;;;
230209;1800;5;;;
230209;1900;15;;;
230209;2000;10;;;
230209;2100;14;;;
230209;2200;10;;;
230209;2300;5;;;
230210;0000;6;;;
230210;0100;6;;;
230210;0200;2;;;
230210;0300;4;;;
230210;0400;3;;;
230210;0500;5;;;
230210;0600;6;;;
230210;0700;7;;;
230210;0800;7;;;
230210;0900;9;;;
230210;1000;8;;;
230210;1100;7;;;
230210;1200;6;;;
230210;1300;7;;;
230210;1400;9;;;
230210;1500;10;;;
230210;1600;19;;;
230210;1700;15;;;
230210;1800;9;;;
230210;1900;14;;;
230210;2000;23;;;
230210;2100;16;;;
230210;2200;10;;;
230210;2300;6;;;
230211;0000;4;;;
230211;0100;4;;;
230211;0200;3;;;
230211;0300;2;;;
230211;0400;2;;;
230211;0500;2;;;
230211;0600;2;;;
230211;0700;3;;;
230211;0800;6;;;
230211;0900;15;;;
230211;1000;15;;;
230211;1100;10;;;
230211;1200;11;;;
230211;1300;8;;;
230211;1400;8;;;
230211;1500;22;;;
230211;1600;13;;;
230211;1700;15;;;
230211;1800;14;;;
230211;1900;27;;;
230211;2000;10;;;
230211;2100;16;;;
230211;2200;14;;;
230211;2300;10;;;
230212;0000;4;;;
230212;0100;4;;;
230212;0200;5;;;
230212;0300;4;;;
230212;0400;4;;;
230212;0500;4;;;
230212;0600;9;;;
230212;0700;8;;;
230212;0800;8;;;
230212;0900;7;;;
230212;1000;9;;;
230212;1100;8;;;
230212;1200;6;;;
230212;1300;9;;;
230212;1400;6;;;
230212;1500;5;;;
230212;1600;9;;;
230212;1700;9;;;
230212;1800;8;;;
230212;1900;9;;;
230212;2000;13;;;
230212;2100;12;;;
230212;2200;8;;;
230212;2300;8;;;
230213;0000;6;;;
230213;0100;6;;;
230213;0200;5;;;
230213;0300;4;;;
230213;0400;3;;;
230213;0500;5;;;
230213;0600;8;;;
230213;0700;18;;;
230213;0800;18;;;
230213;0900;17;;;
230213;1000;15;;;
230213;1100;17;;;
230213;1200;16;;;
230213;1300;15;;;
230213;1400;15;;;
230213;1500;18;;;
230213;1600;10;;;
230213;1700;21;;;
230213;1800;14;;;
230213;1900;27;;;
230213;2000;34;;;
230213;2100;42;;;
230213;2200;13;;;
230213;2300;16;;;
230214;0000;13;;;
230214;0100;7;;;
230214;0200;6;;;
230214;0300;6;;;
230214;0400;2;;;
230214;0500;3;;;
230214;0600;9;;;
230214;0700;15;;;
230214;0800;10;;;
230214;0900;9;;;
230214;1000;12;;;
230214;1100;8;;;
230214;1200;8;;;
230214;1300;12;;;
230214;1400;12;;;
230214;1500;13;;;
230214;1600;16;;;
230214;1700;22;;;
230214;1800;16;;;
230214;1900;18;;;
230214;2000;17;;;
230214;2100;7;;;
230214;2200;5;;;
230214;2300;5;;;
230215;0000;5;;;
230215;0100;3;;;
230215;0200;1;;;
230215;0300;1;;;
230215;0400;1;;;
230215;0500;1;;;
230215;0600;5;;;
230215;0700;10;;;
230215;0800;9;;;
230215;0900;7;;;
230215;1000;7;;;
230215;1100;4;;;
230215;1200;6;;;
230215;1300;7;;;
230215;1400;8;;;
230215;1500;7;;;
230215;1600;7;;;
230215;1700;12;;;
230215;1800;14;;;
230215;1900;16;;;
230215;2000;31;;;
230215;2100;16;;;
230215;2200;17;;;
230215;2300;16;;;
230216;0000;27;;;
230216;0100;22;;;
230216;0200;21;;;
230216;0300;9;;;
230216;0400;9;;;
230216;0500;21;;;
230216;0600;36;;;
230216;0700;20;;;
230216;0800;14;;;
230216;0900;8;;;
230216;1000;7;;;
230216;1100;8;;;
230216;1200;5;;;
230216;1300;7;;;
230216;1400;6;;;
230216;1500;7;;;
230216;1600;8;;;
230216;1700;12;;;
230216;1800;17;;;
230216;1900;19;;;
230216;2000;73;;;
230216;2100;95;;;
230216;2200;46;;;
230216;2300;15;;;
230217;0000;19;;;
230217;0100;6;;;
230217;0200;8;;;
230217;0300;7;;;
230217;0400;13;;;
230217;0500;31;;;
230217;0600;62;;;
230217;0700;19;;;
230217;0800;25;;;
230217;0900;10;;;
230217;1000;7;;;
230217;1100;6;;;
230217;1200;5;;;
230217;1300;8;;;
230217;1400;6;;;
230217;1500;7;;;
230217;1600;8;;;
230217;1700;5;;;
230217;1800;7;;;
230217;1900;12;;;
230217;2000;13;;;
230217;2100;10;;;
230217;2200;13;;;
230217;2300;8;;;
230218;0000;9;;;
230218;0100;6;;;
230218;0200;9;;;
230218;0300;9;;;
230218;0400;5;;;
230218;0500;6;;;
230218;0600;9;;;
230218;0700;8;;;
230218;0800;7;;;
230218;0900;7;;;
230218;1000;6;;;
230218;1100;9;;;
230218;1200;7;;;
230218;1300;6;;;
230218;1400;5;;;
230218;1500;6;;;
230218;1600;6;;;
230218;1700;5;;;
230218;1800;8;;;
230218;1900;11;;;
230218;2000;10;;;
230218;2100;10;;;
230218;2200;8;;;
230218;2300;8;;;
230219;0000;6;;;
230219;0100;4;;;
230219;0200;6;;;
230219;0300;5;;;
230219;0400;6;;;
230219;0500;7;;;
230219;0600;5;;;
230219;0700;6;;;
230219;0800;6;;;
230219;0900;5;;;
230219;1000;16;;;
230219;1100;12;;;
230219;1200;13;;;
230219;1300;16;;;
230219;1400;22;;;
230219;1500;6;;;
230219;1600;7;;;
230219;1700;9;;;
230219;1800;11;;;
230219;1900;12;;;
230219;2000;14;;;
230219;2100;15;;;
230219;2200;9;;;
230219;2300;17;;;
230220;0000;10;;;
230220;0100;6;;;
230220;0200;4;;;
230220;0300;6;;;
230220;0400;8;;;
230220;0500;6;;;
230220;0600;8;;;
230220;0700;19;;;
230220;0800;18;;;
230220;0900;9;;;
230220;1000;11;;;
230220;1100;14;;;
230220;1200;12;;;
230220;1300;7;;;
230220;1400;6;;;
230220;1500;7;;;
230220;1600;7;;;
230220;1700;9;;;
230220;1800;10;;;
230220;1900;14;;;
230220;2000;16;;;
230220;2100;10;;;
230220;2200;6;;;
230220;2300;25;;;
230221;0000;10;;;
230221;0100;7;;;
230221;0200;4;;;
230221;0300;3;;;
230221;0400;3;;;
230221;0500;3;;;
230221;0600;5;;;
230221;0700;7;;;
230221;0800;7;;;
230221;0900;11;;;
230221;1000;12;;;
230221;1100;16;;;
230221;1200;15;;;
230221;1300;16;;;
230221;1400;11;;;
230221;1500;9;;;
230221;1600;6;;;
230221;1700;8;;;
230221;1800;9;;;
230221;1900;9;;;
230221;2000;13;;;
230221;2100;10;;;
230221;2200;12;;;
230221;2300;7;;;
230222;0000;6;;;
230222;0100;4;;;
230222;0200;2;;;
230222;0300;5;;;
230222;0400;5;;;
230222;0500;5;;;
230222;0600;7;;;
230222;0700;5;;;
230222;0800;8;;;
230222;0900;11;;;
230222;1000;8;;;
230222;1100;12;;;
230222;1200;17;;;
230222;1300;12;;;
230222;1400;10;;;
230222;1500;9;;;
230222;1600;13;;;
230222;1700;7;;;
230222;1800;7;;;
230222;1900;6;;;
230222;2000;5;;;
230222;2100;6;;;
230222;2200;6;;;
230222;2300;6;;;
230223;0000;8;;;
230223;0100;6;;;
230223;0200;5;;;
230223;0300;3;;;
230223;0400;5;;;
230223;0500;4;;;
230223;0600;8;;;
230223;0700;14;;;
230223;0800;10;;;
230223;0900;7;;;
230223;1000;6;;;
